,AGE,APG,BPG,BPM,DBPM,DRBG,DWS,FPG,GP,OBPM,ORBG,OWS,PER,PPG,RPG,SPG,TPG,USG,Unnamed: 0,VORP,WS,YEAR
131,4.110914107,1.77647228,0.4251868962,4.630369947,2.184639262,1.661319032,1.038879658,0.7323571311,25.50315098,3.644159314,0.7974207946,1.811935236,6.457614115,5.324480177,2.334586622,0.4289413607,0.7757580867,5.246332705,188.0717948,1.146128501,2.610758235,0
132,26.82352941,1.778910838,0.3816240447,-1.725432526,-0.4858131488,2.596001042,1.107958478,1.683309402,49.16262976,-1.240484429,0.8213090847,1.169550173,13.21816609,7.910723676,3.417310126,0.6255850141,1.100355164,18.56089965,23805.5,0.5205882353,2.276470588,2016
133,4.3323778,1.714292688,0.4250292378,3.646849057,2.159090117,1.721940107,1.106842897,0.7533925967,25.96560559,3.052695108,0.763386968,1.873385652,5.535970175,5.475189936,2.343830052,0.4294407003,0.7628759825,5.199242768,166.998503,1.258554782,2.750150461,0
134,26.40672269,1.75268442,0.3893217286,-1.951428571,-0.3773109244,2.666720531,1.102857143,1.672524689,48.43361345,-1.572605042,0.8227312037,1.15512605,12.72857143,8.184534419,3.489451734,0.6084794272,1.079997591,18.5010084,24393,0.5226890756,2.260336134,2017
135,4.264719629,1.695741455,0.4764919769,4.260354051,2.133255877,1.797297151,1.048202841,0.7567550778,26.30455299,3.489740486,0.7607963536,1.944461125,6.041742324,5.84373643,2.425187019,0.4080701669,0.7697197291,5.527129203,171.9059821,1.350385715,2.746495757,0
136,26.19427711,1.742775962,0.3492252938,-2.384939759,-0.7153614458,2.510486358,0.9743975904,1.583389064,43.28012048,-1.669427711,0.7474143846,1.04126506,12.71987952,7.893200846,3.257900742,0.5974928254,1.053570694,18.57319277,331.5,0.4652108434,2.017771084,2018
137,4.127664504,1.670158637,0.3664261283,6.079732842,2.721298408,1.77895174,1.027689613,0.7731050398,27.74359811,5.093578216,0.7063089793,1.75798516,8.7135232,5.800530771,2.346794403,0.4401284195,0.8012799376,6.075659574,191.8245726,1.148929839,2.571877817,0
138,25.90019194,1.948752399,0.3978886756,-1.770057582,0,0,1.155278311,0,49.98848369,0,0,1.237236084,13.24702495,8.737236084,3.661804223,0.6214971209,0,18.75758157,260,0.5777351248,2.393857965,2019
139,4.208235968,1.776774135,0.4057938031,4.942094094,0,0,1.106543461,0,25.62660617,0,0,1.854836516,7.058072014,6.085559455,2.527316114,0.4125885272,0,5.593435808,150.5440135,1.330515897,2.742633611,0
140,25.76344086,1.843932412,0.398156682,-1.774961598,-0.2294930876,2.748694316,0.8646697389,1.740092166,38.21658986,-1.542857143,0.8170506912,0.9053763441,12.7281106,8.461290323,3.56328725,0.6176651306,1.101075269,18.31136713,325,0.4082949309,1.771428571,2020
141,4.024840158,1.698072905,0.4090096633,4.160551345,1.842002979,1.841339976,0.8925739823,0.8198907943,22.94442989,3.390909632,0.7279483681,1.481377313,6.135141598,6.197277878,2.429508518,0.4060823164,0.8077025798,5.636353961,188.0717948,0.9873002874,2.175106919,0
142,25.62374245,2.03501006,0.4219315895,-2.128169014,-0.5386317907,2.826559356,0.4259557344,1.65472837,18.45674044,-1.587122736,0.8084507042,0.4605633803,12.64627767,8.96277666,3.632796781,0.6096579477,1.13943662,18.75211268,248,0.185110664,0.8837022133,2021
143,4.054229134,1.986806698,0.4397830882,5.407418298,1.741360164,1.940001983,0.3821500376,0.8441107512,8.311394229,4.501388134,0.7697199258,0.7846653312,7.404316474,6.885621029,2.519694767,0.4270907819,0.887715265,5.91614458,143.6158069,0.4928313093,1.037033988,0
